p,Amount of sets in solution,Covered Elements,Elements to be covered,Coverage Rate,Sum of all Set-sizes in solution,Time elapsed in sec
1.005,0,0,29181,0.0,0,138.923
1.01,17,631,29181,0.0216236592303211,992,70.407
1.015,420,4287,29181,0.1469106610465714,18089,48.9
1.02,3580,11490,29181,0.39374935745862033,117190,47.321
1.025,3831,12255,29181,0.4199650457489462,134501,42.074
1.03,10787,18147,29181,0.6218772488948289,322717,63.406
1.035,11534,16703,29181,0.5723929954422398,281023,59.21
1.04,19651,21356,29181,0.7318460642198691,478779,91.223
1.045,22094,22820,29181,0.7820156951441006,572636,101.818
1.05,30942,25143,29181,0.8616222884753778,730171,140.909
1.055,18385,20611,29181,0.7063157534011857,449957,80.675
1.06,28224,23929,29181,0.8200198759466776,646228,126.131
1.065,27982,23896,29181,0.8188890031184675,641056,124.791
1.07,27019,23898,29181,0.8189575408656318,638447,121.34
1.075,36711,25965,29181,0.8897913025598848,795618,163.923
1.08,36172,25456,29181,0.872348445906583,753302,158.228
1.085,32290,24073,29181,0.8249545937425037,672189,139.268
1.09,26963,23692,29181,0.8118981529077139,624651,117.886
1.095,41892,26724,29181,0.915801377608718,870360,184.728
1.1,34183,25175,29181,0.8627188924300059,734261,148.704
1.105,36463,25912,29181,0.8879750522600323,801552,162.254
1.11,40267,26653,29181,0.9133682875843872,858087,176.528
1.115,38893,25908,29181,0.8878379767657038,799089,167.665
1.12,41018,27041,29181,0.9266646105342518,879885,181.018
1.125,34732,25240,29181,0.864946369212844,736707,149.812
1.13,42617,27481,29181,0.9417429149103869,912347,189.659
1.135,44164,27612,29181,0.9462321373496453,941569,192.295
1.14,38425,26108,29181,0.8946917514821288,809431,164.242
1.145,44324,27860,29181,0.9547308179980124,953728,194.99
1.15,42440,27895,29181,0.9559302285733868,955885,185.974
1.155,47370,28377,29181,0.9724478256399712,1000559,203.551
1.16,41549,26787,29181,0.9179603166443919,865051,175.542
1.165,43950,27677,29181,0.9484596141324835,938904,192.221
1.17,43476,27278,29181,0.9347863335732155,899733,186.795
1.175,41380,27064,29181,0.9274527946266407,882766,179.034
1.18,42429,26987,29181,0.9248140913608169,880347,182.396
