Amount of sets in solution,Covered Elements,Elements to be covered,Coverage Rate,Time elapsed in sec
19443,29181,29181,1.0,362457,202.413
19443,29181,29181,1.0,362457,203.397
19443,29181,29181,1.0,362457,203.884
19443,29181,29181,1.0,362457,202.573
19443,29181,29181,1.0,362457,202.632
19443,29181,29181,1.0,362457,203.136
19443,29181,29181,1.0,362457,203.823
19443,29181,29181,1.0,362457,203.279
19443,29181,29181,1.0,362457,203.139
19443,29181,29181,1.0,362457,203.85
19443,29181,29181,1.0,362457,203.402
19443,29181,29181,1.0,362457,203.352
19443,29181,29181,1.0,362457,203.58
19443,29181,29181,1.0,362457,202.877
19443,29181,29181,1.0,362457,203.469
19443,29181,29181,1.0,362457,203.499
19443,29181,29181,1.0,362457,203.499
19443,29181,29181,1.0,362457,202.879
19443,29181,29181,1.0,362457,203.702
19443,29181,29181,1.0,362457,203.83
19443,29181,29181,1.0,362457,203.639
19443,29181,29181,1.0,362457,203.147
19443,29181,29181,1.0,362457,203.213
19443,29181,29181,1.0,362457,203.417
19443,29181,29181,1.0,362457,204.027
19443,29181,29181,1.0,362457,203.096
19443,29181,29181,1.0,362457,203.095
19443,29181,29181,1.0,362457,203.946
19443,29181,29181,1.0,362457,203.675
19443,29181,29181,1.0,362457,203.533
19443,29181,29181,1.0,362457,204.065
19443,29181,29181,1.0,362457,204.267
19443,29181,29181,1.0,362457,203.765
19443,29181,29181,1.0,362457,203.414
19443,29181,29181,1.0,362457,203.907
19443,29181,29181,1.0,362457,203.064
19443,29181,29181,1.0,362457,203.521
19443,29181,29181,1.0,362457,203.509
19443,29181,29181,1.0,362457,202.671
19443,29181,29181,1.0,362457,202.862
19443,29181,29181,1.0,362457,203.775
19443,29181,29181,1.0,362457,203.532
19443,29181,29181,1.0,362457,203.036
19443,29181,29181,1.0,362457,203.623
19443,29181,29181,1.0,362457,203.417
19443,29181,29181,1.0,362457,203.286
19443,29181,29181,1.0,362457,204.101
19443,29181,29181,1.0,362457,204.001
19443,29181,29181,1.0,362457,203.317
19443,29181,29181,1.0,362457,203.436
