p;Amount of sets in solution (indices);Elements that actually got covered;Elements that need to get covered;Percentage;Time elapsed in sec
1.001;0;0;29181;0.0;746.732
1.002;0;0;29181;0.0;376.807
1.003;0;0;29181;0.0;251.853
1.004;0;0;29181;0.0;187.596
1.005;0;0;29181;0.0;150.43
1.006;1;102;29181;0.003495425105376786;125.934
1.007;2;167;29181;0.005722901888214935;108.569
1.008;1;101;29181;0.003461156231794661;95.757
1.009;3;244;29181;0.008361605154038587;84.769
1.01;17;631;29181;0.0216236592303211;76.68
1.011;7;351;29181;0.012028374627326;69.778
1.012;6;317;29181;0.010863232925533737;64.28
1.013;37;1128;29181;0.0386552894006374;59.56
1.014;177;2637;29181;0.09036701963606457;56.03
1.015;420;4287;29181;0.1469106610465714;53.173
1.016;336;3666;29181;0.12562969055207154;49.548
1.017;127;2157;29181;0.0739179603166444;46.456
1.018;233;3156;29181;0.10815256502518762;44.686
1.019;2965;10162;29181;0.34824029334155787;49.942
1.02;3580;11490;29181;0.39374935745862033;50.42
1.021;3439;11259;29181;0.3858332476611494;48.421
1.022;5857;13467;29181;0.46149892053048214;54.308
1.023;4500;12910;29181;0.44241115794523833;49.093
1.024;4331;11777;29181;0.40358452417669033;46.206
1.025;3831;12255;29181;0.4199650457489462;44.556
1.026;6409;13928;29181;0.47729687125184195;51.413
1.027;7488;15322;29181;0.5250676810253248;55.122
1.028;4935;12390;29181;0.42459134368253315;43.69
1.029;11909;18666;29181;0.6396627942839519;71.432
1.03;10787;18147;29181;0.6218772488948289;66.325
1.031;13650;19038;29181;0.6524108152565026;75.767
1.032;12812;17715;29181;0.6070730955073507;68.736
1.033;10612;16506;29181;0.5656420273465611;59.57
1.034;11065;16675;29181;0.5714334669819403;61.113
1.035;11534;16703;29181;0.5723929954422398;61.799
1.036;20085;21831;29181;0.7481237791713786;98.675
1.037;11518;17495;29181;0.5995339433192831;62.24
1.038;20338;22538;29181;0.7723518727939412;103.226
1.039;19406;21758;29181;0.7456221513998835;94.279
1.04;19651;21356;29181;0.7318460642198691;94.904
1.041;19655;21684;29181;0.7430862547548062;94.586
1.042;23308;22629;29181;0.7754703402899147;111.229
1.043;27867;24287;29181;0.8322881326890785;132.056
1.044;13084;18604;29181;0.6375381241218601;66.55
1.045;22094;22820;29181;0.7820156951441006;104.889
1.046;18072;20894;29181;0.7160138446249272;86.763
1.047;25599;23584;29181;0.8081971145608444;120.305
1.048;15263;19764;29181;0.6772900174771255;73.253
1.049;22059;22335;29181;0.7653952914567698;102.417
1.05;30942;25143;29181;0.8616222884753778;147.403
1.051;26084;23624;29181;0.8095678695041294;121.834
1.052;25398;23087;29181;0.791165484390528;116.937
1.053;22665;22428;29181;0.7685822966999075;104.86
1.054;15535;20514;29181;0.7029916726637195;75.773
1.055;18385;20611;29181;0.7063157534011857;84.612
1.056;25173;23409;29181;0.8022000616839724;117.898
1.057;29857;24726;29181;0.8473321681916316;139.264
1.058;31983;25069;29181;0.8590863918303006;147.796
1.059;31024;24508;29181;0.8398615537507282;140.778
1.06;28224;23929;29181;0.8200198759466776;129.146
1.061;19305;21730;29181;0.744662622939584;89.938
1.062;28719;24440;29181;0.8375312703471437;132.616
1.063;36891;26451;29181;0.9064459751207978;171.229
1.064;27954;23663;29181;0.8109043555738323;126.114
1.065;27982;23896;29181;0.8188890031184675;128.01
1.066;36230;26052;29181;0.8927726945615297;169.293
1.067;24748;22794;29181;0.7811247044309654;110.019
1.068;33625;25806;29181;0.8843425516603269;156.219
1.069;25410;23032;29181;0.7892806963435112;113.565
1.07;27019;23898;29181;0.8189575408656318;125.122
1.071;36568;25843;29181;0.8856104999828656;167.839
1.072;23285;22476;29181;0.7702272026318495;103.909
1.073;40305;26468;29181;0.9070285459716939;183.986
1.074;28628;24570;29181;0.84198622391282;131.578
1.075;36711;25965;29181;0.8897913025598848;166.052
1.076;24682;22957;29181;0.7867105308248518;109.629
1.077;31821;24504;29181;0.8397244782563997;143.782
1.078;31357;24420;29181;0.8368458928755012;143.121
1.079;29544;24467;29181;0.8384565299338611;134.824
1.08;36172;25456;29181;0.872348445906583;166.273
1.081;29436;24532;29181;0.8406840067166992;134.401
1.082;32802;25103;29181;0.8602515335320928;149.283
1.083;31939;24137;29181;0.8271478016517597;141.656
1.084;29776;24448;29181;0.8378054213358007;135.076
1.085;32290;24073;29181;0.8249545937425037;143.935
1.086;36130;26044;29181;0.8924985435728727;166.367
1.087;32838;25536;29181;0.8750899557931531;148.148
1.088;45144;27634;29181;0.946986052568452;204.495
1.089;38909;26538;29181;0.9094273671224427;174.565
1.09;26963;23692;29181;0.8118981529077139;120.119
1.091;37781;26146;29181;0.8959939686782495;173.18
1.092;41169;27069;29181;0.9276241389945512;186.283
1.093;31247;25322;29181;0.8677564168465782;140.839
1.094;30910;24560;29181;0.8416435351769987;140.471
1.095;41892;26724;29181;0.915801377608718;190.89
1.096;41060;27241;29181;0.9335183852506768;185.439
1.097;31579;25585;29181;0.8767691305986772;143.447
1.098;35402;26080;29181;0.8937322230218293;164.698
1.099;44947;27636;29181;0.9470545903156163;203.406
1.1;34183;25175;29181;0.8627188924300059;150.074
